poNumber,date,quantity,amount,location,status
My PO,04/04/2010,,1000,CM00Z001 Jade e Services (MTA),Pending Bill
PO-000005-14,4/24/2014,,90,,Pending Bill
PO-000006-14,05/08/2014,,1100,,Pending Bill
PO-000008-14,05/08/2014,,500,CM00Z001 Jade e Services (MTA),Pending Receipt
Test ExR,7/18/2014,,19.56,CM00Z001 Jade e Services (MTA),Fully Billed
Test ExR-1,7/18/2014,,19.56,CM00Z001 Jade e Services (MTA),Fully Billed
PO140001CM,01/04/2010,,0,BHG,Fully Billed
PO140002CM,10/15/2018,,67.9,,Pending Supervisor Approval
PO140003CM,3/14/2019,,1.99,,Pending Supervisor Approval
PO140004CM,04/04/2019,,236.25,BHG,Pending Supervisor Approval
PO140005CM,5/31/2019,,150,,Pending Supervisor Approval
PO140006CM,5/31/2019,,150,,Pending Supervisor Approval
PO140007CM,7/29/2019,,0,CM00A001 Warehouse,Pending Bill
PO140008CM,8/29/2019,,72.9,,Pending Supervisor Approval
PO140009CM,8/29/2019,,275,,Pending Supervisor Approval
PO140010CM,8/29/2019,,13685,,Pending Supervisor Approval
PO140011CM,10/23/2019,,1495,,Pending Supervisor Approval
PO140012CM,10/23/2019,,25,Dapur Solo - Panglima,Pending Supervisor Approval
PO140013CM,10/23/2019,,25,Dapur Solo - Panglima,Pending Supervisor Approval
PO140014CM,10/23/2019,,25,Dapur Solo - Panglima,Pending Supervisor Approval
PO140015CM,12/12/2019,,500,Dapur Solo - Panglima,Pending Bill
PO140016CM,12/12/2019,,5,,Fully Billed
PO140017CM,12/12/2019,,1500,,Fully Billed
PO140018CM,12/12/2019,,1000,,Pending Bill
PO140019CM,12/12/2019,,400,,Fully Billed
PO140020CM,12/13/2019,,2500000,,Fully Billed
PO140021CM,12/13/2019,,44500,,Fully Billed
PO140022CM,12/16/2019,,250000,,Fully Billed
PO140023CM,12/18/2019,,5000,,Pending Supervisor Approval
PO140024CM,12/18/2019,,5000,,Pending Receipt
PO140025CM,12/18/2019,,50000,,Pending Supervisor Approval
PO140026CM,12/18/2019,,5000,,Pending Supervisor Approval
PO140027CM,12/18/2019,,5000,,Pending Supervisor Approval
PO140028CM,12/18/2019,,5000,,Pending Supervisor Approval
PO140029CM,12/18/2019,,5000,,Pending Supervisor Approval
PO140030CM,12/18/2019,,15000,,Pending Supervisor Approval
PO140031CM,12/18/2019,,5000,,Pending Supervisor Approval
PO140032CM,12/18/2019,,500,,Pending Supervisor Approval
PO140033CM,12/18/2019,,5000,,Pending Supervisor Approval
PO140034CM,12/18/2019,,5000,,Pending Supervisor Approval
PO140035CM,12/18/2019,,500,,Pending Supervisor Approval
PO140036CM,12/19/2019,,5000,,Pending Supervisor Approval
PO140037CM,12/19/2019,,5000,,Pending Supervisor Approval
PO140038CM,12/19/2019,,500,,Pending Supervisor Approval
PO140039CM,12/19/2019,,500,,Pending Supervisor Approval
PO140040CM,12/19/2019,,500,,Pending Supervisor Approval
PO140041CM,12/19/2019,,500,,Pending Supervisor Approval
PO140042CM,12/19/2019,,500,,Pending Supervisor Approval
PO140043CM,12/19/2019,,500,,Pending Supervisor Approval
PO140044CM,12/19/2019,,500,,Pending Receipt
PO140045CM,12/19/2019,,500,,Pending Supervisor Approval
PO140046CM,12/19/2019,,500,,Pending Supervisor Approval
PO140047CM,12/19/2019,,1000,,Pending Supervisor Approval
PO140048CM,12/19/2019,,1500,,Pending Supervisor Approval
PO140049CM,12/19/2019,,1500,,Pending Supervisor Approval
PO140050CM,12/19/2019,,1500,,Pending Supervisor Approval
PO140051CM,12/19/2019,,500,,Pending Supervisor Approval
PO140052CM,12/19/2019,,500,,Pending Receipt
PO140053CM,12/19/2019,,1000,,Pending Supervisor Approval
PO140054CM,12/19/2019,,1000,,Pending Supervisor Approval
PO140055CM,12/19/2019,,500,,Pending Supervisor Approval
PO140056CM,12/19/2019,,500,,Pending Supervisor Approval
PO140057CM,12/19/2019,,1000,,Pending Supervisor Approval
PO140058CM,12/19/2019,,1000,,Pending Supervisor Approval
PO140059CM,12/19/2019,,1000,,Pending Supervisor Approval
PO140060CM,12/19/2019,,500,,Pending Supervisor Approval
PO140061CM,12/19/2019,,500,,Pending Supervisor Approval
PO140062CM,12/19/2019,,500,CM00Z001 Jade e Services (MTA),Pending Supervisor Approval
PO140063CM,12/19/2019,,500,,Pending Supervisor Approval
PO140064CM,12/19/2019,,500,Dapur Solo - Panglima,Rejected by Supervisor
PO140065CM,12/20/2019,,500,,Rejected by Supervisor
PO140066CM,12/20/2019,,500,,Pending Receipt
PO140067CM,12/20/2019,,500,CM00Z001 Jade e Services (MTA),Pending Supervisor Approval
PO140068CM,1/14/2020,,1.99,,Pending Supervisor Approval
PO140069CM,1/14/2020,,1.99,,Pending Supervisor Approval
PO140070CM,1/15/2020,,1.99,,Pending Supervisor Approval
PO140071CM,1/15/2020,,10,,Pending Supervisor Approval
PO140072CM,1/15/2020,,10,,Pending Supervisor Approval
PO140073CM,1/15/2020,,10,,Pending Supervisor Approval
PO140074CM,1/15/2020,,10,,Pending Supervisor Approval
PO140075CM,1/15/2020,,36.99,,Pending Supervisor Approval
PO140076CM,1/23/2020,,1584.6,,Pending Receipt
PO140077CM,02/10/2020,,18422.66,CM00Z001 Jade e Services (MTA) : Boston-Row : Boston-Rack,Pending Supervisor Approval
PO140078CM,03/02/2020,,18422.66,CM00Z001 Jade e Services (MTA) : Boston-Row : Boston-Rack,Pending Supervisor Approval
PO140080CM,3/14/2020,,18422.66,CM00Z001 Jade e Services (MTA) : Boston-Row : Boston-Rack,Pending Supervisor Approval
PO140081CM,3/14/2020,,18422.66,CM00Z001 Jade e Services (MTA) : Boston-Row : Boston-Rack,Pending Supervisor Approval
PO140082CM,4/16/2020,,10,,Pending Supervisor Approval
PO140083CM,9/24/2021,,297.96,VIS-BANDUNG WH,Pending Supervisor Approval
PO140084CM,08/03/2020,,125,,Pending Supervisor Approval
PO140085CM,08/03/2020,,114,,Pending Supervisor Approval
PO140086CM,08/03/2020,,225,,Pending Supervisor Approval
PO140087CM,08/03/2020,,22,,Pending Supervisor Approval
PO140088CM,08/03/2020,,125,,Pending Supervisor Approval
PO140089CM,08/03/2020,,112,,Pending Supervisor Approval
PO140090CM,08/03/2020,,113,,Pending Supervisor Approval
PO140091CM,08/03/2020,,23,,Pending Supervisor Approval
PO140092CM,08/03/2020,,12,,Pending Supervisor Approval
PO140093CM,08/03/2020,,1122,,Pending Supervisor Approval
PO140094CM,08/03/2020,,82,,Pending Supervisor Approval
PO140095CM,08/03/2020,,63,,Pending Supervisor Approval
PO140096CM,08/03/2020,,123,,Pending Supervisor Approval
PO140097CM,08/03/2020,,2093,Dapur Solo - Panglima,Pending Supervisor Approval
PO140098CM,08/04/2020,,90,BHG,Pending Supervisor Approval
PO140099CM,08/04/2020,,8372,Dapur Solo - Panglima,Pending Supervisor Approval
PO140100CM,08/04/2020,,200,,Pending Bill
PO140101CM,7/17/2020,,5382,Dapur Solo - Panglima,Pending Supervisor Approval
PO140102CM,7/15/2020,,2392,Dapur Solo - Panglima,Pending Supervisor Approval
PO140103CM,08/05/2020,,7176,Dapur Solo - Panglima,Pending Supervisor Approval
PO140104CM,08/05/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140105CM,08/05/2020,,3887,Dapur Solo - Panglima,Pending Supervisor Approval
PO140106CM,08/05/2020,,5382,Dapur Solo - Panglima,Pending Supervisor Approval
PO140107CM,08/05/2020,,2093,Dapur Solo - Panglima,Pending Supervisor Approval
PO140108CM,08/05/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140109CM,08/05/2020,,897,Dapur Solo - Panglima,Pending Supervisor Approval
PO140110CM,08/05/2020,,1495,Dapur Solo - Panglima,Pending Supervisor Approval
PO140111CM,08/05/2020,,2691,Dapur Solo - Panglima,Pending Supervisor Approval
PO140112CM,08/05/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140113CM,08/05/2020,,1584.6,,Partially Received
PO140114CM,08/05/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140115CM,08/05/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140116CM,08/05/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140117CM,08/05/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140118CM,08/05/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140119CM,08/05/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140120CM,08/06/2020,,23,,Pending Receipt
PO140121CM,08/06/2020,,18422.66,CM00Z001 Jade e Services (MTA) : Boston-Row : Boston-Rack,Pending Billing/Partially Received
PO140122CM,08/06/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140123CM,08/06/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140124CM,08/06/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140125CM,08/06/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140126CM,08/06/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140127CM,08/06/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140128CM,08/07/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140129CM,08/07/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140130CM,08/07/2020,,299,Dapur Solo - Panglima,Fully Billed
PO140131CM,08/07/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140132CM,08/07/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140133CM,08/07/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140134CM,08/07/2020,,299,Dapur Solo - Panglima,Pending Supervisor Approval
PO140135CM,08/07/2020,,41122,BHG,Pending Billing/Partially Received
PO140136CM,9/24/2020,,160,BHG,Pending Billing/Partially Received
PO140137CM,9/24/2020,,30,CM00Z001 Jade e Services (MTA),Pending Receipt
PO140138CM,11/25/2020,,299,Dapur Solo - Panglima,Fully Billed
PO140139CM,3/22/2021,,299,VIS-JAKARTA WH,Pending Supervisor Approval
PO140140CM,09/08/2021,,1.99,,Pending Supervisor Approval
PO140141CM,9/15/2021,,0,Tangs,Closed
PO140142CM,9/15/2021,,300,Singapore,Pending Receipt
PO140143CM,9/15/2021,,25,Takashimaya,Pending Receipt
PO140147CM,9/24/2021,,10,,Pending Supervisor Approval
PO140148CM,9/24/2021,,1.25,,Pending Supervisor Approval
PO140149CM,9/25/2021,,798,,Partially Received
PO140150CM,9/27/2021,,1655,,Pending Billing/Partially Received
PO140151CM,9/27/2021,,19576,,Partially Received
PO140152CM,9/27/2021,,4289.95,,Partially Received
PO140154CM,9/28/2021,,6589.75,BHG : CM00H010,Pending Supervisor Approval
PO140155CM,9/28/2021,,1705,VANIA JAKARTA,Pending Receipt
PO140156CM,9/28/2021,,4884.75,Singapore : East Coast,Pending Supervisor Approval
PO140157CM,9/28/2021,,620,Robinsons,Pending Receipt
PO140158CM,9/28/2021,,85,Metro,Pending Supervisor Approval
PO140159CM,9/28/2021,,1335,Takashimaya,Pending Supervisor Approval
PO140160CM,9/28/2021,,4549.75,Dapur Solo - Panglima,Pending Receipt
PO140161CM,9/28/2021,,620,Singapore,Pending Receipt
PO140162CM,9/28/2021,,85,Tangs,Fully Billed
PO140163CM,9/28/2021,,1000,OG,Pending Supervisor Approval
PO140164CM,9/28/2021,,110,Robinsons,Pending Supervisor Approval
PO140165CM,9/28/2021,,225,Robinsons,Pending Supervisor Approval
PO140166CM,9/28/2021,,49.75,Los Angeles,Pending Supervisor Approval
PO140167CM,9/28/2021,,1705,CM00H014 BHC Tampines,Pending Receipt
PO140168CM,9/28/2021,,384.75,CM00A001 Warehouse,Pending Supervisor Approval
PO140169CM,9/28/2021,,798,,Partially Received
PO140170CM,9/28/2021,,1655,,Pending Billing/Partially Received
PO140171CM,9/28/2021,,3098.2,CM00H014 BHC Tampines,Partially Received
PO140172CM,9/28/2021,,3098.2,CM00H014 BHC Tampines,Partially Received
PO140173CM,10/21/2021,,6589.75,BHG : CM00H010,Partially Received
PO140174CM,10/21/2021,,6589.75,BHG : CM00H010,Pending Billing/Partially Received
PO140175CM,10/21/2021,,6589.75,BHG : CM00H010,Partially Received
PO140176CM,10/22/2021,,7389.75,BHG : CM00H010,Partially Received
PO140177CM,10/22/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140178CM,10/22/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140179CM,10/22/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140180CM,10/22/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140181CM,10/22/2021,,7389.75,BHG : CM00H010,Partially Received
PO140182CM,10/22/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140183CM,10/22/2021,,7389.75,BHG : CM00H010,Pending Billing/Partially Received
PO140184CM,10/22/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140185CM,10/22/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140186CM,10/22/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140187CM,10/26/2021,,4884.75,Singapore : East Coast,Partially Received
PO140188CM,10/26/2021,,4884.75,Singapore : East Coast,Pending Supervisor Approval
PO140189CM,10/27/2021,,1705,VANIA JAKARTA,Pending Supervisor Approval
PO140190CM,11/08/2021,,7389.75,BHG : CM00H010,Pending Receipt
PO140191CM,11/08/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140192CM,11/08/2021,,7389.75,BHG : CM00H010,Partially Received
PO140193CM,11/08/2021,,4884.75,Singapore : East Coast,Pending Billing/Partially Received
PO140194CM,11/08/2021,,7389.75,BHG : CM00H010,Partially Received
PO140195CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140196CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140197CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140198CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140199CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140200CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140201CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140202CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140203CM,11/09/2021,,7389.75,BHG : CM00H010,Partially Received
PO140204CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140205CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140206CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140207CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140208CM,11/09/2021,,7389.75,BHG : CM00H010,Pending Billing/Partially Received
PO140209CM,11/10/2021,,620,Robinsons,Pending Supervisor Approval
PO140210CM,11/11/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140211CM,11/11/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140212CM,11/11/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140213CM,11/11/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140214CM,11/11/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140215CM,11/11/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140216CM,11/12/2021,,7389.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140218CM,11/12/2021,,7389.75,BHG : CM00H010,Pending Supervisor Approval
PO140219CM,11/12/2021,,1000,OG,Fully Billed
PO140258CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140259CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140260CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140261CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140262CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140263CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140264CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140265CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140266CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140267CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140268CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140269CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140270CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140271CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140272CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140273CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140274CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140275CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140276CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140277CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140278CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140279CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140280CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140281CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140291CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140292CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140293CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140294CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140295CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140296CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140297CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140298CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140299CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140300CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140301CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140302CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140303CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140304CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140305CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140306CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140307CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140308CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140309CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140310CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140311CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140312CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140313CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140314CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140315CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140316CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140317CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140318CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140319CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140320CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140321CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140322CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140323CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140324CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140325CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140326CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140327CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140328CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140329CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140330CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140331CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140332CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140333CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140334CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140335CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140336CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140337CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140338CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140339CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140340CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140341CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140342CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140343CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140344CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140345CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140346CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140347CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140348CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140349CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140350CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140351CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140352CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140353CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140354CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140355CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140356CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140357CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140358CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140359CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140360CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140361CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140362CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140363CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140364CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140365CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140366CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140367CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140368CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140369CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140370CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140371CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140372CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140373CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140374CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140375CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140376CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140377CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140378CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140379CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140380CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140381CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140382CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140383CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140384CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140385CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140386CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140387CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140388CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140389CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140390CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140391CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140392CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140393CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
PO140394CM,11/12/2021,,2474.75,Metro : CM00H022 Paragon,Pending Supervisor Approval
